sku_id,category,supplier_id,purchasing_price,avg_selling_price,cm1_margin_pct,cm2_margin_pct,cm3_margin_pct
1,Storage,SUP_D,170.11,279.35,39.11,31.24,26.66
2,Storage,SUP_C,79.17,140.03,43.46,31.27,25.3
3,Power Tools,SUP_B,148.9,214.48,30.58,18.73,12.36
4,Power Tools,SUP_D,94.67,182.9,48.24,39.8,31.7
5,Storage,SUP_B,12.22,22.99,46.84,41.25,35.46
6,Hand Tools,SUP_C,73.44,118.18,37.86,31.04,26.81
7,Storage,SUP_E,76.9,137.46,44.05,33.74,26.29
8,Hand Tools,SUP_A,9.38,14.32,34.52,22.27,15.0
9,Workshop Equipment,SUP_E,151.75,246.06,38.33,30.1,24.56
10,Workshop Equipment,SUP_B,61.12,130.46,53.15,45.21,37.8
11,Hand Tools,SUP_B,58.64,137.12,57.24,47.9,41.88
12,Storage,SUP_D,12.4,22.62,45.19,35.93,30.75
13,Power Tools,SUP_B,149.44,283.09,47.21,33.28,23.67
14,Power Tools,SUP_A,7.82,14.2,44.94,33.71,29.9
15,Storage,SUP_C,32.75,66.14,50.48,41.33,32.27
16,Hand Tools,SUP_B,20.26,42.64,52.49,42.66,32.76
17,Workshop Equipment,SUP_E,120.51,216.8,44.42,33.29,29.44
18,Power Tools,SUP_C,145.97,225.3,35.21,24.18,17.36
19,Power Tools,SUP_B,8.54,16.98,49.72,41.68,35.76
20,Workshop Equipment,SUP_E,93.12,154.07,39.56,25.81,19.23
21,Storage,SUP_E,44.87,74.69,39.92,29.06,21.69
22,Hand Tools,SUP_B,144.14,239.27,39.76,26.34,22.75
23,Workshop Equipment,SUP_D,165.3,262.75,37.09,29.65,25.29
24,Storage,SUP_A,49.65,86.85,42.83,36.87,27.67
25,Storage,SUP_C,75.42,128.23,41.18,28.95,25.84
26,Storage,SUP_C,58.68,101.47,42.17,31.6,27.49
27,Power Tools,SUP_B,126.2,283.01,55.41,43.45,38.22
28,Power Tools,SUP_A,51.8,85.25,39.24,28.7,22.97
29,Workshop Equipment,SUP_A,128.55,189.74,32.25,18.83,13.33
30,Hand Tools,SUP_D,13.5,32.68,58.69,50.64,44.86
31,Power Tools,SUP_D,176.65,288.88,38.85,23.9,18.41
32,Power Tools,SUP_D,96.7,153.79,37.12,26.19,18.35
33,Workshop Equipment,SUP_C,94.18,211.48,55.47,46.48,41.79
34,Power Tools,SUP_A,61.66,122.57,49.7,39.57,31.9
35,Power Tools,SUP_A,29.79,68.99,56.82,50.51,45.26
36,Workshop Equipment,SUP_B,172.64,288.47,40.15,26.69,19.82
37,Hand Tools,SUP_D,110.32,168.08,34.37,25.52,20.3
38,Storage,SUP_C,127.78,252.4,49.37,42.66,33.86
39,Power Tools,SUP_D,132.59,264.32,49.84,39.32,32.27
40,Storage,SUP_A,6.23,11.19,44.35,39.33,29.41
