date,sku_id,category,supplier_id,units_sold,price,promo_flag,is_black_friday_week,is_christmas_peak,stock_on_hand,stockout_flag,lead_time_days
2021-01-01,1,Storage,SUP_D,20,299.43,0,0,0,467,0,12
2021-01-02,1,Storage,SUP_D,21,274.9,0,0,0,461,0,12
2021-01-03,1,Storage,SUP_D,24,275.25,0,0,0,320,0,12
2021-01-04,1,Storage,SUP_D,19,286.29,0,0,0,304,0,12
2021-01-05,1,Storage,SUP_D,8,291.12,0,0,0,396,0,12
2021-01-06,1,Storage,SUP_D,11,299.09,0,0,0,341,0,12
2021-01-07,1,Storage,SUP_D,23,287.64,0,0,0,391,0,12
2021-01-08,1,Storage,SUP_D,25,282.84,0,0,0,551,0,12
2021-01-09,1,Storage,SUP_D,18,278.79,0,0,0,483,0,12
2021-01-10,1,Storage,SUP_D,19,298.66,0,0,0,536,0,12
2021-01-11,1,Storage,SUP_D,17,290.49,0,0,0,329,0,12
2021-01-12,1,Storage,SUP_D,18,280.67,0,0,0,514,0,12
2021-01-13,1,Storage,SUP_D,15,277.51,0,0,0,461,0,12
2021-01-14,1,Storage,SUP_D,18,279.03,0,0,0,303,0,12
2021-01-15,1,Storage,SUP_D,9,298.12,0,0,0,359,0,12
2021-01-16,1,Storage,SUP_D,18,294.71,0,0,0,365,0,12
2021-01-17,1,Storage,SUP_D,15,298.94,0,0,0,544,0,12
2021-01-18,1,Storage,SUP_D,18,284.21,0,0,0,322,0,12
2021-01-19,1,Storage,SUP_D,17,279.26,0,0,0,381,0,12
2021-01-20,1,Storage,SUP_D,13,272.7,0,0,0,377,0,12
2021-01-21,1,Storage,SUP_D,14,284.37,0,0,0,528,0,12
2021-01-22,1,Storage,SUP_D,16,276.9,0,0,0,424,0,12
2021-01-23,1,Storage,SUP_D,16,286.55,0,0,0,453,0,12
2021-01-24,1,Storage,SUP_D,22,294.44,0,0,0,381,0,12
2021-01-25,1,Storage,SUP_D,7,288.22,0,0,0,556,0,12
2021-01-26,1,Storage,SUP_D,21,286.5,0,0,0,441,0,12
2021-01-27,1,Storage,SUP_D,11,277.44,0,0,0,487,0,12
2021-01-28,1,Storage,SUP_D,20,273.77,0,0,0,373,0,12
2021-01-29,1,Storage,SUP_D,17,279.37,0,0,0,345,0,12
2021-01-30,1,Storage,SUP_D,18,292.31,0,0,0,315,0,12
2021-01-31,1,Storage,SUP_D,20,285.4,0,0,0,369,0,12
2021-02-01,1,Storage,SUP_D,21,284.64,0,0,0,511,0,12
2021-02-02,1,Storage,SUP_D,17,294.88,0,0,0,411,0,12
2021-02-03,1,Storage,SUP_D,11,279.07,0,0,0,441,0,12
2021-02-04,1,Storage,SUP_D,12,274.96,0,0,0,457,0,12
2021-02-05,1,Storage,SUP_D,18,272.41,0,0,0,329,0,12
2021-02-06,1,Storage,SUP_D,25,284.38,0,0,0,298,0,12
2021-02-07,1,Storage,SUP_D,21,277.2,0,0,0,321,0,12
2021-02-08,1,Storage,SUP_D,13,296.15,0,0,0,461,0,12
2021-02-09,1,Storage,SUP_D,18,288.23,0,0,0,474,0,12
2021-02-10,1,Storage,SUP_D,11,289.15,0,0,0,473,0,12
2021-02-11,1,Storage,SUP_D,17,295.69,0,0,0,439,0,12
2021-02-12,1,Storage,SUP_D,18,293.04,0,0,0,320,0,12
2021-02-13,1,Storage,SUP_D,20,292.13,0,0,0,428,0,12
2021-02-14,1,Storage,SUP_D,20,292.73,0,0,0,560,0,12
2021-02-15,1,Storage,SUP_D,17,297.8,0,0,0,300,0,12
2021-02-16,1,Storage,SUP_D,7,277.27,0,0,0,458,0,12
2021-02-17,1,Storage,SUP_D,17,284.57,0,0,0,371,0,12
2021-02-18,1,Storage,SUP_D,13,296.73,0,0,0,302,0,12
2021-02-19,1,Storage,SUP_D,20,280.9,0,0,0,487,0,12
2021-02-20,1,Storage,SUP_D,18,274.57,0,0,0,399,0,12
2021-02-21,1,Storage,SUP_D,14,281.71,0,0,0,323,0,12
2021-02-22,1,Storage,SUP_D,12,274.31,0,0,0,354,0,12
2021-02-23,1,Storage,SUP_D,16,297.73,0,0,0,322,0,12
2021-02-24,1,Storage,SUP_D,24,271.46,0,0,0,528,0,12
2021-02-25,1,Storage,SUP_D,15,293.35,0,0,0,546,0,12
2021-02-26,1,Storage,SUP_D,15,293.97,0,0,0,481,0,12
2021-02-27,1,Storage,SUP_D,24,278.38,0,0,0,539,0,12
2021-02-28,1,Storage,SUP_D,11,286.29,0,0,0,453,0,12
2021-03-01,1,Storage,SUP_D,13,294.55,0,0,0,401,0,12
2021-03-02,1,Storage,SUP_D,6,298.74,0,0,0,325,0,12
2021-03-03,1,Storage,SUP_D,13,285.52,0,0,0,301,0,12
2021-03-04,1,Storage,SUP_D,15,299.2,0,0,0,340,0,12
2021-03-05,1,Storage,SUP_D,13,282.59,0,0,0,478,0,12
2021-03-06,1,Storage,SUP_D,14,292.26,0,0,0,433,0,12
2021-03-07,1,Storage,SUP_D,17,276.78,0,0,0,298,0,12
2021-03-08,1,Storage,SUP_D,13,224.89,1,0,0,388,0,12
2021-03-09,1,Storage,SUP_D,13,240.75,1,0,0,480,0,12
2021-03-10,1,Storage,SUP_D,19,219.39,1,0,0,536,0,12
2021-03-11,1,Storage,SUP_D,18,248.84,1,0,0,473,0,12
2021-03-12,1,Storage,SUP_D,19,255.56,1,0,0,460,0,12
2021-03-13,1,Storage,SUP_D,25,246.94,1,0,0,424,0,12
2021-03-14,1,Storage,SUP_D,14,206.93,1,0,0,326,0,12
2021-03-15,1,Storage,SUP_D,20,237.77,1,0,0,551,0,12
2021-03-16,1,Storage,SUP_D,22,244.25,1,0,0,390,0,12
2021-03-17,1,Storage,SUP_D,15,200.85,1,0,0,395,0,12
2021-03-18,1,Storage,SUP_D,21,236.49,1,0,0,487,0,12
2021-03-19,1,Storage,SUP_D,17,225.02,1,0,0,380,0,12
2021-03-20,1,Storage,SUP_D,27,214.86,1,0,0,404,0,12
2021-03-21,1,Storage,SUP_D,26,254.36,1,0,0,350,0,12
2021-03-22,1,Storage,SUP_D,12,274.12,0,0,0,334,0,12
2021-03-23,1,Storage,SUP_D,14,297.15,0,0,0,477,0,12
2021-03-24,1,Storage,SUP_D,9,289.58,0,0,0,520,0,12
2021-03-25,1,Storage,SUP_D,14,279.09,0,0,0,567,0,12
2021-03-26,1,Storage,SUP_D,11,275.68,0,0,0,510,0,12
2021-03-27,1,Storage,SUP_D,17,298.71,0,0,0,542,0,12
2021-03-28,1,Storage,SUP_D,15,295.67,0,0,0,541,0,12
2021-03-29,1,Storage,SUP_D,20,239.78,1,0,0,462,0,12
2021-03-30,1,Storage,SUP_D,20,244.95,1,0,0,344,0,12
2021-03-31,1,Storage,SUP_D,21,241.65,1,0,0,448,0,12
2021-04-01,1,Storage,SUP_D,29,201.66,1,0,0,469,0,12
2021-04-02,1,Storage,SUP_D,23,225.79,1,0,0,513,0,12
2021-04-03,1,Storage,SUP_D,23,241.58,1,0,0,327,0,12
2021-04-04,1,Storage,SUP_D,23,233.21,1,0,0,536,0,12
2021-04-05,1,Storage,SUP_D,14,294.18,0,0,0,455,0,12
2021-04-06,1,Storage,SUP_D,15,283.25,0,0,0,378,0,12
2021-04-07,1,Storage,SUP_D,18,277.29,0,0,0,345,0,12
2021-04-08,1,Storage,SUP_D,10,296.74,0,0,0,511,0,12
2021-04-09,1,Storage,SUP_D,12,275.35,0,0,0,391,0,12
2021-04-10,1,Storage,SUP_D,19,292.29,0,0,0,397,0,12
2021-04-11,1,Storage,SUP_D,22,276.59,0,0,0,488,0,12
2021-04-12,1,Storage,SUP_D,12,273.58,0,0,0,466,0,12
2021-04-13,1,Storage,SUP_D,17,298.69,0,0,0,530,0,12
2021-04-14,1,Storage,SUP_D,17,278.64,0,0,0,472,0,12
2021-04-15,1,Storage,SUP_D,11,299.98,0,0,0,469,0,12
2021-04-16,1,Storage,SUP_D,14,288.68,0,0,0,312,0,12
2021-04-17,1,Storage,SUP_D,11,285.69,0,0,0,463,0,12
2021-04-18,1,Storage,SUP_D,10,278.01,0,0,0,486,0,12
2021-04-19,1,Storage,SUP_D,15,295.77,0,0,0,393,0,12
2021-04-20,1,Storage,SUP_D,18,284.26,0,0,0,508,0,12
2021-04-21,1,Storage,SUP_D,15,292.96,0,0,0,464,0,12
2021-04-22,1,Storage,SUP_D,15,292.21,0,0,0,467,0,12
2021-04-23,1,Storage,SUP_D,13,299.15,0,0,0,330,0,12
2021-04-24,1,Storage,SUP_D,15,295.33,0,0,0,341,0,12
2021-04-25,1,Storage,SUP_D,15,291.6,0,0,0,361,0,12
2021-04-26,1,Storage,SUP_D,14,296.89,0,0,0,409,0,12
2021-04-27,1,Storage,SUP_D,10,298.94,0,0,0,466,0,12
2021-04-28,1,Storage,SUP_D,12,279.41,0,0,0,394,0,12
2021-04-29,1,Storage,SUP_D,22,296.4,0,0,0,299,0,12
2021-04-30,1,Storage,SUP_D,9,289.44,0,0,0,504,0,12
2021-05-01,1,Storage,SUP_D,14,292.49,0,0,0,467,0,12
2021-05-02,1,Storage,SUP_D,21,273.71,0,0,0,388,0,12
2021-05-03,1,Storage,SUP_D,20,274.72,0,0,0,380,0,12
2021-05-04,1,Storage,SUP_D,20,273.18,0,0,0,484,0,12
2021-05-05,1,Storage,SUP_D,16,286.25,0,0,0,559,0,12
2021-05-06,1,Storage,SUP_D,17,278.3,0,0,0,495,0,12
2021-05-07,1,Storage,SUP_D,18,285.24,0,0,0,374,0,12
2021-05-08,1,Storage,SUP_D,15,279.57,0,0,0,446,0,12
2021-05-09,1,Storage,SUP_D,24,288.79,0,0,0,397,0,12
2021-05-10,1,Storage,SUP_D,17,294.82,0,0,0,327,0,12
2021-05-11,1,Storage,SUP_D,17,292.78,0,0,0,443,0,12
2021-05-12,1,Storage,SUP_D,14,289.62,0,0,0,560,0,12
2021-05-13,1,Storage,SUP_D,19,282.17,0,0,0,542,0,12
2021-05-14,1,Storage,SUP_D,15,297.5,0,0,0,532,0,12
2021-05-15,1,Storage,SUP_D,18,281.13,0,0,0,488,0,12
2021-05-16,1,Storage,SUP_D,15,281.6,0,0,0,345,0,12
2021-05-17,1,Storage,SUP_D,17,285.22,0,0,0,400,0,12
2021-05-18,1,Storage,SUP_D,21,293.4,0,0,0,534,0,12
2021-05-19,1,Storage,SUP_D,14,298.41,0,0,0,356,0,12
2021-05-20,1,Storage,SUP_D,15,278.81,0,0,0,517,0,12
2021-05-21,1,Storage,SUP_D,11,288.72,0,0,0,317,0,12
2021-05-22,1,Storage,SUP_D,20,290.36,0,0,0,451,0,12
2021-05-23,1,Storage,SUP_D,17,280.16,0,0,0,436,0,12
2021-05-24,1,Storage,SUP_D,17,293.34,0,0,0,557,0,12
2021-05-25,1,Storage,SUP_D,12,281.3,0,0,0,500,0,12
2021-05-26,1,Storage,SUP_D,14,287.12,0,0,0,548,0,12
2021-05-27,1,Storage,SUP_D,23,284.46,0,0,0,453,0,12
2021-05-28,1,Storage,SUP_D,12,290.79,0,0,0,361,0,12
2021-05-29,1,Storage,SUP_D,19,274.01,0,0,0,427,0,12
2021-05-30,1,Storage,SUP_D,15,276.84,0,0,0,537,0,12
2021-05-31,1,Storage,SUP_D,14,283.94,0,0,0,408,0,12
2021-06-01,1,Storage,SUP_D,11,286.31,0,0,0,342,0,12
2021-06-02,1,Storage,SUP_D,12,294.52,0,0,0,405,0,12
2021-06-03,1,Storage,SUP_D,15,273.51,0,0,0,548,0,12
2021-06-04,1,Storage,SUP_D,11,279.4,0,0,0,475,0,12
2021-06-05,1,Storage,SUP_D,19,295.16,0,0,0,447,0,12
2021-06-06,1,Storage,SUP_D,15,296.41,0,0,0,309,0,12
2021-06-07,1,Storage,SUP_D,13,206.08,1,0,0,438,0,12
2021-06-08,1,Storage,SUP_D,16,234.11,1,0,0,352,0,12
2021-06-09,1,Storage,SUP_D,15,222.64,1,0,0,491,0,12
2021-06-10,1,Storage,SUP_D,14,214.84,1,0,0,305,0,12
2021-06-11,1,Storage,SUP_D,15,221.69,1,0,0,363,0,12
2021-06-12,1,Storage,SUP_D,15,225.02,1,0,0,356,0,12
2021-06-13,1,Storage,SUP_D,13,231.99,1,0,0,365,0,12
2021-06-14,1,Storage,SUP_D,12,296.76,0,0,0,539,0,12
2021-06-15,1,Storage,SUP_D,15,287.85,0,0,0,509,0,12
2021-06-16,1,Storage,SUP_D,16,271.54,0,0,0,300,0,12
2021-06-17,1,Storage,SUP_D,11,290.41,0,0,0,492,0,12
2021-06-18,1,Storage,SUP_D,11,293.26,0,0,0,514,0,12
2021-06-19,1,Storage,SUP_D,13,299.99,0,0,0,494,0,12
2021-06-20,1,Storage,SUP_D,9,288.21,0,0,0,350,0,12
2021-06-21,1,Storage,SUP_D,21,276.5,0,0,0,537,0,12
2021-06-22,1,Storage,SUP_D,11,288.52,0,0,0,463,0,12
2021-06-23,1,Storage,SUP_D,12,286.28,0,0,0,464,0,12
2021-06-24,1,Storage,SUP_D,9,286.03,0,0,0,520,0,12
2021-06-25,1,Storage,SUP_D,15,271.85,0,0,0,381,0,12
2021-06-26,1,Storage,SUP_D,15,283.6,0,0,0,446,0,12
2021-06-27,1,Storage,SUP_D,15,282.85,0,0,0,506,0,12
2021-06-28,1,Storage,SUP_D,13,280.94,0,0,0,333,0,12
2021-06-29,1,Storage,SUP_D,7,278.85,0,0,0,374,0,12
2021-06-30,1,Storage,SUP_D,8,287.99,0,0,0,473,0,12
2021-07-01,1,Storage,SUP_D,10,293.95,0,0,0,522,0,12
2021-07-02,1,Storage,SUP_D,13,274.27,0,0,0,314,0,12
2021-07-03,1,Storage,SUP_D,16,285.96,0,0,0,311,0,12
2021-07-04,1,Storage,SUP_D,15,294.29,0,0,0,548,0,12
2021-07-05,1,Storage,SUP_D,9,286.21,0,0,0,337,0,12
2021-07-06,1,Storage,SUP_D,21,295.79,0,0,0,396,0,12
2021-07-07,1,Storage,SUP_D,10,274.46,0,0,0,482,0,12
2021-07-08,1,Storage,SUP_D,10,288.32,0,0,0,496,0,12
2021-07-09,1,Storage,SUP_D,15,280.88,0,0,0,522,0,12
2021-07-10,1,Storage,SUP_D,12,282.89,0,0,0,530,0,12
2021-07-11,1,Storage,SUP_D,13,291.13,0,0,0,461,0,12
2021-07-12,1,Storage,SUP_D,7,292.44,0,0,0,572,0,12
2021-07-13,1,Storage,SUP_D,13,277.89,0,0,0,534,0,12
2021-07-14,1,Storage,SUP_D,16,277.16,0,0,0,488,0,12
2021-07-15,1,Storage,SUP_D,10,275.78,0,0,0,373,0,12
2021-07-16,1,Storage,SUP_D,11,281.03,0,0,0,390,0,12
2021-07-17,1,Storage,SUP_D,12,276.59,0,0,0,431,0,12
2021-07-18,1,Storage,SUP_D,17,271.7,0,0,0,316,0,12
2021-07-19,1,Storage,SUP_D,12,271.56,0,0,0,552,0,12
2021-07-20,1,Storage,SUP_D,7,285.22,0,0,0,482,0,12
2021-07-21,1,Storage,SUP_D,12,295.28,0,0,0,503,0,12
2021-07-22,1,Storage,SUP_D,12,274.72,0,0,0,516,0,12
2021-07-23,1,Storage,SUP_D,12,290.87,0,0,0,531,0,12
2021-07-24,1,Storage,SUP_D,16,293.29,0,0,0,392,0,12
2021-07-25,1,Storage,SUP_D,12,282.2,0,0,0,543,0,12
2021-07-26,1,Storage,SUP_D,5,297.91,0,0,0,482,0,12
2021-07-27,1,Storage,SUP_D,11,290.63,0,0,0,444,0,12
2021-07-28,1,Storage,SUP_D,7,296.17,0,0,0,352,0,12
2021-07-29,1,Storage,SUP_D,12,282.35,0,0,0,376,0,12
2021-07-30,1,Storage,SUP_D,14,275.97,0,0,0,313,0,12
2021-07-31,1,Storage,SUP_D,14,287.69,0,0,0,401,0,12
2021-08-01,1,Storage,SUP_D,17,288.37,0,0,0,440,0,12
2021-08-02,1,Storage,SUP_D,13,232.13,1,0,0,561,0,12
2021-08-03,1,Storage,SUP_D,20,213.7,1,0,0,418,0,12
2021-08-04,1,Storage,SUP_D,21,214.86,1,0,0,392,0,12
2021-08-05,1,Storage,SUP_D,16,265.19,1,0,0,530,0,12
2021-08-06,1,Storage,SUP_D,15,258.61,1,0,0,409,0,12
2021-08-07,1,Storage,SUP_D,13,238.54,1,0,0,528,0,12
2021-08-08,1,Storage,SUP_D,16,217.54,1,0,0,332,0,12
2021-08-09,1,Storage,SUP_D,18,225.02,1,0,0,382,0,12
2021-08-10,1,Storage,SUP_D,15,234.68,1,0,0,397,0,12
2021-08-11,1,Storage,SUP_D,14,242.66,1,0,0,407,0,12
2021-08-12,1,Storage,SUP_D,15,220.35,1,0,0,475,0,12
2021-08-13,1,Storage,SUP_D,14,226.34,1,0,0,391,0,12
2021-08-14,1,Storage,SUP_D,24,217.98,1,0,0,293,0,12
2021-08-15,1,Storage,SUP_D,14,205.41,1,0,0,308,0,12
2021-08-16,1,Storage,SUP_D,17,296.97,0,0,0,357,0,12
2021-08-17,1,Storage,SUP_D,15,295.96,0,0,0,486,0,12
2021-08-18,1,Storage,SUP_D,11,292.36,0,0,0,467,0,12
2021-08-19,1,Storage,SUP_D,15,289.6,0,0,0,419,0,12
2021-08-20,1,Storage,SUP_D,16,288.3,0,0,0,432,0,12
2021-08-21,1,Storage,SUP_D,8,293.85,0,0,0,518,0,12
2021-08-22,1,Storage,SUP_D,9,295.12,0,0,0,385,0,12
2021-08-23,1,Storage,SUP_D,12,284.67,0,0,0,539,0,12
2021-08-24,1,Storage,SUP_D,11,282.97,0,0,0,425,0,12
2021-08-25,1,Storage,SUP_D,11,284.28,0,0,0,392,0,12
2021-08-26,1,Storage,SUP_D,11,297.84,0,0,0,442,0,12
2021-08-27,1,Storage,SUP_D,23,294.44,0,0,0,305,0,12
2021-08-28,1,Storage,SUP_D,15,278.79,0,0,0,407,0,12
2021-08-29,1,Storage,SUP_D,14,272.37,0,0,0,457,0,12
2021-08-30,1,Storage,SUP_D,12,272.51,0,0,0,567,0,12
2021-08-31,1,Storage,SUP_D,12,284.35,0,0,0,312,0,12
2021-09-01,1,Storage,SUP_D,13,295.38,0,0,0,475,0,12
2021-09-02,1,Storage,SUP_D,13,290.4,0,0,0,441,0,12
2021-09-03,1,Storage,SUP_D,11,291.09,0,0,0,344,0,12
2021-09-04,1,Storage,SUP_D,22,280.76,0,0,0,293,0,12
2021-09-05,1,Storage,SUP_D,20,293.51,0,0,0,425,0,12
2021-09-06,1,Storage,SUP_D,18,273.78,0,0,0,500,0,12
2021-09-07,1,Storage,SUP_D,8,276.35,0,0,0,506,0,12
2021-09-08,1,Storage,SUP_D,21,286.49,0,0,0,497,0,12
2021-09-09,1,Storage,SUP_D,17,287.76,0,0,0,308,0,12
2021-09-10,1,Storage,SUP_D,16,296.89,0,0,0,432,0,12
2021-09-11,1,Storage,SUP_D,10,290.16,0,0,0,367,0,12
2021-09-12,1,Storage,SUP_D,15,288.12,0,0,0,434,0,12
2021-09-13,1,Storage,SUP_D,13,279.64,0,0,0,497,0,12
2021-09-14,1,Storage,SUP_D,15,288.88,0,0,0,465,0,12
2021-09-15,1,Storage,SUP_D,10,279.31,0,0,0,545,0,12
2021-09-16,1,Storage,SUP_D,19,294.5,0,0,0,389,0,12
2021-09-17,1,Storage,SUP_D,17,282.79,0,0,0,383,0,12
2021-09-18,1,Storage,SUP_D,15,285.08,0,0,0,424,0,12
2021-09-19,1,Storage,SUP_D,13,278.7,0,0,0,545,0,12
2021-09-20,1,Storage,SUP_D,20,277.84,0,0,0,417,0,12
2021-09-21,1,Storage,SUP_D,12,289.59,0,0,0,535,0,12
